plate,well,site,bf_site,compound,batch_id,path,moa
P015076,B15,s2,s1,CBK308624,BJ1896979,/scratch3-shared/phil/grit_based_numpy_data/fl/specs935-v1-FA-P015076-U2OS-48h-P1-L1_B15_s2_w5A182CD7A-434B-4373-8B4F-EDA2D2AB9882.npy,cyclooxygenase inhibitor
P015076,B15,s4,s2,CBK308624,BJ1896979,/scratch3-shared/phil/grit_based_numpy_data/fl/specs935-v1-FA-P015076-U2OS-48h-P1-L1_B15_s4_w505E950A2-F503-45F7-B40A-71458DF5F549.npy,cyclooxygenase inhibitor
P015076,B15,s5,s3,CBK308624,BJ1896979,/scratch3-shared/phil/grit_based_numpy_data/fl/specs935-v1-FA-P015076-U2OS-48h-P1-L1_B15_s5_w59FF4E97B-1A9C-40BF-8DBE-3ADD75B6A8D4.npy,cyclooxygenase inhibitor
P015076,B15,s6,s4,CBK308624,BJ1896979,/scratch3-shared/phil/grit_based_numpy_data/fl/specs935-v1-FA-P015076-U2OS-48h-P1-L1_B15_s6_w5C2FA5FC1-73DF-4651-982B-5144B0C9C92F.npy,cyclooxygenase inhibitor
P015076,B15,s8,s5,CBK308624,BJ1896979,/scratch3-shared/phil/grit_based_numpy_data/fl/specs935-v1-FA-P015076-U2OS-48h-P1-L1_B15_s8_w52AFCC987-D15A-4221-85B7-0F58D446A638.npy,cyclooxygenase inhibitor
P015076,C09,s2,s1,CBK308541,BJ1896858,/scratch3-shared/phil/grit_based_numpy_data/fl/specs935-v1-FA-P015076-U2OS-48h-P1-L1_C09_s2_w5A0F67E0C-3251-4A4B-AF6F-4075EE7BB493.npy,phosphodiesterase inhibitor
P015076,C09,s4,s2,CBK308541,BJ1896858,/scratch3-shared/phil/grit_based_numpy_data/fl/specs935-v1-FA-P015076-U2OS-48h-P1-L1_C09_s4_w5648FD089-4E41-4D06-A825-FB52814AA997.npy,phosphodiesterase inhibitor
P015076,C09,s5,s3,CBK308541,BJ1896858,/scratch3-shared/phil/grit_based_numpy_data/fl/specs935-v1-FA-P015076-U2OS-48h-P1-L1_C09_s5_w56AB70BF4-3798-4A47-937D-B2C58057A1D9.npy,phosphodiesterase inhibitor
P015076,C09,s6,s4,CBK308541,BJ1896858,/scratch3-shared/phil/grit_based_numpy_data/fl/specs935-v1-FA-P015076-U2OS-48h-P1-L1_C09_s6_w5AC09FB0B-55BC-40D9-AD40-CF34533241AD.npy,phosphodiesterase inhibitor
P015076,C09,s8,s5,CBK308541,BJ1896858,/scratch3-shared/phil/grit_based_numpy_data/fl/specs935-v1-FA-P015076-U2OS-48h-P1-L1_C09_s8_w53FABE8AC-FB28-4206-AA52-8E63225C088B.npy,phosphodiesterase inhibitor
P015076,D02,s2,s1,CBK308541,BJ1896858,/scratch3-shared/phil/grit_based_numpy_data/fl/specs935-v1-FA-P015076-U2OS-48h-P1-L1_D02_s2_w5AF10A8B5-2792-4611-9319-9FEB43C1DA6B.npy,phosphodiesterase inhibitor
